replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
66;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.562454545454545;0.975913352731975;1;31;299;41.2466666666667;42.3236073662462;5;1;1;-0.0352363454545455
67;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.455818181818182;0.967092142002393;1;2;330;30.3878787878788;29.2256961524439;2;1;1;-0.0917691909090909
68;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.350818181818182;0.957490927941939;0.933333333333333;31;329;23.3878787878788;20.2985605277176;3;1;0.888888888888889;-0.174434327272727
69;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.606;0.978694673668417;0.885714285714286;22;285;46.6153846153846;45.6259938077252;2;0.909090909090909;0.846153846153846;0.056869
70;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.596363636363636;0.978506097560976;0.973684210526316;82;282;46.5248226950355;50.3193489567644;7;1;0.9;-0.0744987545454545
71;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.584;0.978518057285181;0.971428571428571;41;276;46.5507246376812;47.9463009333744;5;1;0.909090909090909;0.0511974363636364
72;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.201545454545455;0.958521190261497;0.941176470588235;177;183;24.0978260869565;22.4983807879437;6;0.833333333333333;0.964285714285714;0.154260490909091
73;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.559181818181818;0.973008130081301;0.86046511627907;1;333;36.8323353293413;41.331841439773;1;1;0.727272727272727;0.157500581818182
74;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.624818181818182;0.981373690337602;0.945945945945946;32;257;53.2790697674419;49.2851994682776;5;0.954545454545455;0.933333333333333;-0.0252056909090909
75;Y ~ X1 + X2 + X3 + X1:X2;0.5;1;1;300;1;0.567909090909091;0.977265449887928;0.975;11;285;43.6853146853147;41.3128598435961;2;0.961538461538462;1;0.0402463363636364
