replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
30;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.158545454545455;0.806081468732071;0.52;186;677;5.14454277286136;4.58771107543038;70;0.6;0.5;0.0216098
31;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.121545454545455;0.791479820627803;0.512820512820513;31;557;4.7921146953405;4.13527667005205;11;0.6;0.5;0.0212115
32;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.135909090909091;0.795317725752508;0.58974358974359;2;612;4.88562091503268;3.89997760902616;1;1;0.567567567567568;0.0121741272727273
33;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.150090909090909;0.793458509993943;0.775;16;682;4.841642228739;4.55019349309064;7;0.8;0.771428571428571;-0.0158411909090909
34;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.147909090909091;0.816840811309158;0.674418604651163;25;596;5.45973154362416;4.98685706252264;9;0.714285714285714;0.666666666666667;-0.00890740909090909
35;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.118363636363636;0.786482334869432;0.714285714285714;16;556;4.68345323741007;4.68970140024257;7;0.6;0.733333333333333;-0.0215781545454545
36;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.120454545454545;0.786415094339623;0.627906976744186;37;566;4.68197879858657;3.7498832567515;15;0.666666666666667;0.625;-0.0240664636363636
37;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.145;0.798746081504702;0.609756097560976;19;642;4.96884735202492;4.33938664787442;9;0.75;0.575757575757576;0.0198661090909091
38;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.132090909090909;0.788024776324845;0.714285714285714;12;616;4.71753246753247;4.01155713334879;8;1;0.692307692307692;0.0364347454545455
39;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.0951818181818182;0.775549188156638;0.648648648648649;177;470;4.45531914893617;3.84989779588164;53;0.5;0.666666666666667;0.0195835272727273
40;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.119181818181818;0.78184591914569;0.80952380952381;27;572;4.58391608391608;3.85595279780475;7;0.857142857142857;0.8;-0.0397241909090909
41;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.144454545454545;0.799244808055381;0.606060606060606;4;638;4.98119122257053;4.87964812994994;1;0.75;0.56;0.0272811181818182
42;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.104272727272727;0.787271142109852;0.68;11;488;4.70081967213115;4.29142116572925;6;NA;0.68;-0.0113384909090909
43;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.101363636363636;0.764125560538117;0.548387096774194;12;526;4.23954372623574;3.77310123383811;8;0.5;0.551724137931034;0.0249521545454545
44;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.129727272727273;0.778401122019635;0.703703703703704;4;633;4.50157728706625;3.84067554520466;2;0.666666666666667;0.708333333333333;0.0260218545454545
45;Y ~ X1 + X2 + X3 + X1:X2;0.8;1;1;300;1;0.136636363636364;0.790419161676647;0.67741935483871;75;630;4.77142857142857;4.40669108250548;22;0.6;0.692307692307692;0.0216259090909091
