replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
19;Y ~ X1 + X2;0.5;1;1;1;1;0.357181818181818;0.900483583609061;0.890069622572371;28;782;10.0485933503836;10.367117237262;7;0.90650406504065;0.88080229226361;0.206173409090909
20;Y ~ X1 + X2;0.5;1;1;1;1;0.691181818181818;0.978692621333684;0.961928934010152;17;324;46.9320987654321;45.276119950851;4;0.977683315621679;0.928082191780822;0.107026036363636
21;Y ~ X1 + X2;0.5;1;1;1;1;0.691454545454545;0.97922419460881;0.953589557650471;15;317;47.8364779874214;44.5307281496972;2;0.97564849126522;0.905638665132336;0.0681972272727273
22;Y ~ X1 + X2;0.5;1;1;1;1;0.693909090909091;0.982575658325691;0.97;4;266;57.390977443609;61.6591110751916;2;0.983032873806999;0.93980343980344;-0.0828774272727273
23;Y ~ X1 + X2;0.5;1;1;1;1;0.695545454545455;0.978692810457516;0.957829243000346;134;327;46.6524390243902;46.2245246717717;5;0.976721149083705;0.914187643020595;-0.188678390909091
24;Y ~ X1 + X2;0.5;1;1;1;1;0.637272727272727;0.979315263908702;0.967465141222739;41;290;48.013698630137;43.130273598814;3;0.982172701949861;0.941117764471058;-0.0725227818181818
25;Y ~ X1 + X2;0.5;1;1;1;1;0.669545454545455;0.979090291921249;0.959438968915845;22;308;47.8246753246753;46.771609331264;5;0.980725623582766;0.916475972540046;0.0982215909090909
26;Y ~ X1 + X2;0.5;1;1;1;1;0.745909090909091;0.98122866894198;0.96294964028777;15;309;52.9354838709677;55.0867883634489;2;0.980759980759981;0.910128388017118;0.0711775818181818
27;Y ~ X1 + X2;0.5;1;1;1;1;0.677545454545455;0.978931830381106;0.956489945155393;22;315;47.1708860759494;43.5274557234585;1;0.978641840087623;0.911991199119912;0.144025190909091
28;Y ~ X1 + X2;0.5;1;1;1;1;0.694272727272727;0.965038627733403;0.920295202952029;3;534;28.6029962546816;28.0242857623966;1;0.966074313408724;0.82063305978898;-0.214214945454545
29;Y ~ X1 + X2;0.5;1;1;1;1;0.699909090909091;0.981034034814237;0.960223048327138;107;293;52.3741496598639;47.0667277535788;9;0.980245595301655;0.914320685434517;0.132774427272727
30;Y ~ X1 + X2;0.5;1;1;1;1;0.329;0.891406465874551;0.88805166846071;19;786;9.20865139949109;9.94255061427667;4;0.878318584070796;0.892724375995751;0.203382345454545
31;Y ~ X1 + X2;0.5;1;1;1;1;0.456454545454545;0.912350597609562;0.875497647484618;12;881;11.3854875283447;12.0068604556067;6;0.898193760262726;0.857605177993528;0.206180836363636
32;Y ~ X1 + X2;0.5;1;1;1;1;0.716636363636364;0.981098566535583;0.959469153515065;6;298;52.9060402684564;51.3547995443621;1;0.980516317584023;0.900680272108843;0.1669323
33;Y ~ X1 + X2;0.5;1;1;1;1;0.706727272727273;0.978129422359449;0.949839914621131;58;341;45.4619883040936;49.0583387961227;8;0.978456913827655;0.879754601226994;-0.0909602636363636
34;Y ~ X1 + X2;0.5;1;1;1;1;0.701;0.980025940337224;0.957725947521866;3;309;49.7483870967742;53.3760967889243;1;0.980648535564854;0.905048076923077;-0.0762518181818182
35;Y ~ X1 + X2;0.5;1;1;1;1;0.648545454545455;0.978129819150428;0.959066427289048;249;313;45.4394904458599;45.7474025575697;7;0.975569128262077;0.928861788617886;-0.103113527272727
36;Y ~ X1 + X2;0.5;1;1;1;1;0.702272727272727;0.979546925566343;0.962285287528006;35;316;48.5849056603774;52.7281422573256;2;0.978063135366506;0.925834363411619;-0.181915336363636
37;Y ~ X1 + X2;0.5;1;1;1;1;0.696363636363636;0.981068024546285;0.967494521548576;4;291;52.4657534246575;62.8918244106839;2;0.980546792849632;0.937799043062201;0.1117718
38;Y ~ X1 + X2;0.5;1;1;1;1;0.666181818181818;0.974477958236659;0.941893830703013;20;375;38.9787234042553;37.4467118633617;4;0.97407611693326;0.882051282051282;0.162625045454545
39;Y ~ X1 + X2;0.5;1;1;1;1;0.680909090909091;0.978771695594125;0.956743002544529;72;318;47.1069182389937;50.6480273392166;1;0.975741239892183;0.917410714285714;0.1046335
40;Y ~ X1 + X2;0.5;1;1;1;1;0.638636363636364;0.97779359430605;0.950427960057061;12;312;45.0320512820513;39.6662560536469;1;0.975490196078431;0.902892561983471;-0.161869454545455
41;Y ~ X1 + X2;0.5;1;1;1;1;0.72;0.982952392978911;0.965966690803765;5;271;58.2352941176471;58.7366041836261;1;0.983383685800604;0.92139175257732;0.100757163636364
42;Y ~ X1 + X2;0.5;1;1;1;1;0.730545454545454;0.980211574362166;0.95884476534296;7;319;50.225;50.4482984609993;3;0.980702622464127;0.899866488651535;-0.203852009090909
43;Y ~ X1 + X2;0.5;1;1;1;1;0.626636363636364;0.976933120557087;0.960531036957302;9;318;43.3522012578616;41.3138862186903;2;0.975719932241671;0.934055118110236;0.173846809090909
44;Y ~ X1 + X2;0.5;1;1;1;1;0.643;0.978223981900452;0.954836415362731;69;309;45.6322580645161;51.0263516533355;3;0.97346600331675;0.92123629112662;0.0986189909090909
45;Y ~ X1 + X2;0.5;1;1;1;1;0.703454545454545;0.975959674292361;0.940874035989717;4;373;41.379679144385;42.0410732844352;2;0.976328248290373;0.858880778588808;0.166083627272727
46;Y ~ X1 + X2;0.5;1;1;1;1;0.636181818181818;0.958267829069601;0.909262048192771;15;585;23.8839590443686;23.8970433351639;3;0.957193816884661;0.826488706365503;-0.180680481818182
47;Y ~ X1 + X2;0.5;1;1;1;1;0.646272727272727;0.954417557681486;0.907103825136612;22;649;21.8738461538462;22.0996499952947;6;0.95516458569807;0.820956256358087;-0.185264018181818
48;Y ~ X1 + X2;0.5;1;1;1;1;0.658181818181818;0.983008702859511;0.965453194650817;1;247;58.3870967741936;55.8468739329975;1;0.983127109111361;0.931072210065646;-0.121578509090909
49;Y ~ X1 + X2;0.5;1;1;1;1;0.705;0.978978591694609;0.96525237746891;6;327;47.2865853658537;48.755527010131;2;0.981617647058823;0.927710843373494;0.0266169090909091
50;Y ~ X1 + X2;0.5;1;1;1;1;0.654363636363636;0.978463248575795;0.962458594037541;29;311;46.1410256410256;42.5705408845053;4;0.982133188955062;0.920689655172414;-0.139715954545455
51;Y ~ X1 + X2;0.5;1;1;1;1;0.668909090909091;0.978526773579777;0.952108649035025;1;316;46.5696202531646;47.5491521873968;1;0.976769313884387;0.903907074973601;-0.160667263636364
52;Y ~ X1 + X2;0.5;1;1;1;1;0.679;0.978444236176195;0.958686831427518;10;322;46.3913043478261;44.1411335821028;1;0.980498374864572;0.912138728323699;-0.140033181818182
53;Y ~ X1 + X2;0.5;1;1;1;1;0.627545454545455;0.977111400840214;0.953027139874739;3;316;43.6898734177215;41.6879371116012;1;0.970039570378745;0.92579185520362;0.134453981818182
