replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
88;Y ~ X1 + X2;0.5;300;1;1;1;0.33;0.885431010740843;0.796378010663725;6;831;8.72596153846154;16.0537320373248;2;0.886312849162011;0.752260893395451;0.0800637272727273
89;Y ~ X1 + X2;0.5;300;1;1;1;0.236454545454545;0.888461538461538;0.833302735450707;596;581;8.93814432989691;39.1215121436619;47;0.88845855925639;0.816169393647738;0.0468233727272727
90;Y ~ X1 + X2;0.5;300;1;1;1;0.430545454545455;0.877956081081081;0.779276798825257;950;1156;8.19377162629758;13.0054179869524;167;0.878407155025554;0.704193548387097;0.175478618181818
91;Y ~ X1 + X2;0.5;300;1;1;1;0.0463636363636364;0.849019607843137;0.778186161903887;4177;154;6.62337662337662;12.1004990773967;947;0.847524752475248;0.774812102524571;0.177444918181818
92;Y ~ X1 + X2;0.5;300;1;1;1;0.419818181818182;0.910764565735326;0.845864316533554;358;825;11.181598062954;29.63546239593;67;0.911300919842313;0.798640746009167;0.167441527272727
93;Y ~ X1 + X2;0.5;300;1;1;1;0.172272727272727;0.860158311345646;0.815151515151515;111;530;7.15094339622642;12.6598808973033;26;0.859042553191489;0.805993340732519;0.0993780545454545
94;Y ~ X1 + X2;0.5;300;1;1;1;0.129363636363636;0.767392832044975;0.74416681976851;1825;662;4.29909365558912;6.2020010769;316;0.766501064584812;0.740846259364778;0.204268390909091
95;Y ~ X1 + X2;0.5;300;1;1;1;0.113272727272727;0.863563402889246;0.853468075333027;4644;340;7.32941176470588;9.71899650905669;662;0.863489499192246;0.852182025500156;-0.198801418181818
96;Y ~ X1 + X2;0.5;300;1;1;1;0.212090909090909;0.90098585512216;0.854065450545421;1;462;10.0995670995671;35.7063330125496;1;0.901731601731602;0.841260611699035;-0.100681018181818
97;Y ~ X1 + X2;0.5;300;1;1;1;0.321909090909091;0.908474576271186;0.842781141075032;4509;649;10.8953846153846;38.2609801506609;578;0.908052541404911;0.811891891891892;-0.129032881818182
98;Y ~ X1 + X2;0.5;300;1;1;1;0.342363636363636;0.899097185342538;0.840610350216012;1356;760;9.91052631578947;32.3084963908295;102;0.89898177920686;0.810130124527774;0.141370809090909
99;Y ~ X1 + X2;0.5;300;1;1;1;0.0833636363636364;0.627044711014177;0.783858231567349;3413;684;2.6812865497076;3.8000849789534;748;0.627601314348302;0.798155943074764;0.207192727272727
100;Y ~ X1 + X2;0.5;300;1;1;1;0.132272727272727;0.881786941580756;0.853654058024238;1294;344;8.4593023255814;20.6888272693116;264;0.882638888888889;0.849238256453661;-0.0408484545454545
1;Y ~ X1 + X2;0.5;1;300;1;1;0.631636363636364;0.916798618108536;0.971428571428571;3;1157;12;11.2614417018494;1;0.956521739130435;1;0.2163434
